Fan,Refrigerator,AirConditioner,Television,Monitor,Month,MonthlyHours,TariffRate,City_Ahmedabad,City_Chennai,City_Dahej,City_Faridabad,City_Gurgaon,City_Hyderabad,City_Kolkata,City_Mumbai,City_Nagpur,City_Navi Mumbai,City_New Delhi,City_Noida,City_Pune,City_Ratnagiri,City_Shimla,City_Vadodara,ElectricityBill
1,4,2,1,1,10,263,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2156.6
2,1,3,2,1,7,490,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4508.0
1,2,3,4,1,12,476,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3665.2
4,4,2,1,1,5,577,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4442.900000000001
1,5,1,3,1,3,533,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4157.4
3,5,2,3,1,7,495,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4603.5
1,5,1,1,1,8,399,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3072.3
2,4,1,3,5,10,604,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5254.799999999999
3,4,5,2,1,9,653,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5681.099999999999
4,5,3,3,1,11,512,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4198.4
1,4,3,2,3,8,468,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3837.599999999999
4,4,5,2,1,4,563,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4898.099999999999
3,5,2,2,1,9,496,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4315.2
4,5,1,3,1,10,500,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4200.0
4,4,2,2,1,12,502,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4216.8
1,5,5,3,1,6,616,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4743.2
2,5,5,2,5,8,589,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4770.9
1,3,3,2,3,6,595,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4998.0
1,5,5,3,3,9,487,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3847.3
4,4,1,2,1,3,512,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3788.8
4,4,5,2,1,2,405,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3725.999999999999
1,1,5,4,1,11,388,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3259.2000000000003
1,4,5,2,1,1,437,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4020.4
4,5,5,1,1,3,656,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5576.0
1,3,1,1,1,12,300,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2520.0
1,1,3,1,3,9,523,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3974.8
2,5,3,1,1,7,565,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4746.0
3,4,2,1,1,6,561,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4319.7
4,5,5,2,1,7,628,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5777.599999999999
2,5,5,2,1,11,560,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4592.0
2,4,1,1,1,8,425,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3570.0
2,4,3,3,5,2,632,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4929.599999999999
4,4,5,1,1,9,560,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5096.0
3,5,2,3,1,11,389,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3150.8999999999996
1,3,5,4,1,2,576,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5126.400000000001
1,2,2,1,1,8,340,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2584.0
1,1,5,1,1,8,417,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3502.8
1,5,3,3,1,4,503,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4677.900000000001
4,5,2,1,1,12,561,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4768.5
3,5,3,3,1,8,588,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5468.400000000001
1,3,5,2,1,10,584,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4730.4
4,4,3,4,1,10,771,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6784.8
4,4,5,1,1,9,643,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5272.599999999999
3,4,1,3,1,3,552,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4305.599999999999
2,5,2,2,5,5,683,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6010.400000000001
1,3,5,1,1,5,436,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3400.7999999999997
1,5,3,3,1,7,681,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6265.2
2,4,3,4,5,2,668,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5811.599999999999
3,4,2,3,1,10,381,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3352.8
2,4,5,3,1,10,643,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5979.900000000001
3,5,2,5,1,1,495,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3861.0
1,4,5,2,1,10,544,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4460.799999999999
5,4,5,4,1,5,675,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5197.5
4,5,2,4,1,6,665,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5586.0
2,1,2,2,1,2,243,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2259.9
5,4,3,2,5,9,735,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5733.0
3,4,3,2,1,5,587,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5341.7
2,4,1,1,1,9,287,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267.3
5,4,3,4,1,7,756,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5594.400000000001
2,5,1,3,1,8,460,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3726.0
3,4,5,1,1,8,480,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4416.0
1,4,2,2,1,7,345,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2828.9999999999995
1,5,5,1,1,12,545,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4959.5
1,4,2,4,1,4,407,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581.6000000000004
3,5,3,1,1,1,389,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3462.1000000000004
3,4,2,3,1,1,519,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4255.799999999999
4,4,5,4,5,9,662,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5362.2
2,5,1,1,1,4,302,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2506.6000000000004
2,5,1,3,1,2,582,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4947.0
5,4,1,2,1,1,346,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044.8
2,4,2,5,1,3,506,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4503.400000000001
1,4,2,1,1,1,487,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3944.7
1,1,1,4,3,12,476,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4046.0
3,4,1,2,1,12,373,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3394.2999999999997
3,4,2,3,1,10,599,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4911.799999999999
1,3,1,1,3,3,422,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3924.6
1,3,3,2,1,4,351,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2667.6
3,5,2,2,1,11,512,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4352.0
3,5,5,1,1,4,569,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4324.4
3,5,5,4,1,7,776,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6363.2
3,4,1,3,1,10,467,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3782.7
3,4,3,1,5,3,696,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5846.400000000001
4,4,2,1,1,12,357,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2963.1000000000004
3,4,1,1,1,12,325,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2892.5
4,4,2,2,5,3,717,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6381.3
5,4,3,2,1,4,419,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3812.9
1,5,1,1,1,7,478,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3728.4
2,5,5,3,1,7,548,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4164.8
1,5,5,1,1,4,508,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4419.599999999999
2,3,1,1,1,12,299,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2332.2
3,4,5,4,1,7,537,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4403.4
2,4,3,2,1,12,473,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4351.599999999999
4,5,3,1,1,10,449,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3547.1000000000004
2,5,5,4,1,1,618,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4758.6
4,5,1,5,1,9,540,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4428.0
2,5,2,4,1,4,530,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4293.0
4,5,3,1,1,3,578,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086.400000000001
3,4,5,3,1,2,418,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3302.2000000000003
2,4,1,2,3,2,406,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3004.4
4,4,5,2,1,1,521,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4845.3
1,1,5,2,1,2,458,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3618.2
3,4,5,2,5,2,666,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860.8
1,1,5,3,1,8,325,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2989.9999999999995
4,5,1,4,5,10,684,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6361.200000000001
4,5,1,3,1,2,491,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4468.099999999999
1,3,3,3,1,12,528,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4276.8
2,4,5,4,1,5,742,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5639.2
3,5,2,5,5,3,768,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7142.400000000001
2,2,1,2,1,12,503,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4376.099999999999
1,1,2,4,3,11,536,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4984.8
1,2,2,2,1,1,472,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3492.8
3,4,2,4,1,1,634,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4818.4
3,5,3,2,1,10,384,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3225.6000000000004
2,4,3,2,1,3,438,8.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3723.0
2,4,2,2,5,7,701,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5678.099999999999
3,4,3,3,1,6,462,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3834.6
1,5,3,1,1,3,601,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4747.900000000001
4,4,1,2,1,9,408,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3019.2000000000003
2,4,3,1,1,6,463,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3889.2
1,5,3,4,3,7,602,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5056.8
5,4,1,2,1,6,635,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4889.5
5,5,1,5,1,8,563,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4335.1
3,5,5,2,1,8,726,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6461.400000000001
1,3,2,3,1,12,412,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625.6
1,3,5,5,1,12,675,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5332.5
2,4,3,3,1,9,385,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3541.9999999999995
2,4,1,4,5,10,744,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5654.4
2,4,2,4,1,4,410,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3198.0
2,5,3,3,5,1,591,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4491.599999999999
1,5,2,3,1,4,521,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4584.8
3,5,3,2,1,5,596,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5244.8
4,5,3,1,1,4,415,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3444.5000000000005
3,5,1,2,1,12,503,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3923.4
1,1,5,3,1,10,526,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4155.400000000001
2,4,1,2,1,6,377,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3355.3
2,4,3,1,1,3,376,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308.8
3,5,5,4,1,6,724,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6443.6
2,4,3,2,5,7,707,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5726.7
2,5,1,1,1,11,365,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3175.4999999999995
1,2,3,2,1,2,308,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2556.4
3,5,5,1,1,8,543,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4724.099999999999
1,4,2,2,1,3,355,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2946.5000000000005
1,3,3,1,3,9,502,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3915.6
1,2,3,3,1,8,455,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3776.500000000001
1,2,1,3,3,12,543,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4289.7
2,5,2,1,1,11,461,8.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3734.1
1,1,2,2,1,7,412,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625.6
3,4,5,3,5,9,633,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5317.2
1,2,3,3,1,12,480,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4368.0
1,1,1,2,3,5,348,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3027.6
4,4,3,1,1,10,623,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4859.4
2,4,5,2,1,3,465,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3859.500000000001
1,1,1,3,1,6,371,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3079.3
4,4,2,2,1,11,561,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4431.900000000001
4,4,3,2,1,8,673,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5922.400000000001
1,1,2,3,1,8,535,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3959.0
2,4,5,1,5,4,513,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4668.3
1,1,2,1,3,10,460,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3634.0
4,5,3,2,1,8,483,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3960.599999999999
1,1,3,2,1,7,370,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3108.0
2,5,5,4,1,10,678,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5695.2
1,5,1,4,1,8,459,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3534.3
4,5,5,4,5,1,717,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5449.2
4,4,3,3,1,7,617,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5429.6
1,4,5,2,1,5,488,9.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4538.400000000001
4,4,3,4,1,12,614,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4850.6
4,5,5,3,1,11,556,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4114.400000000001
1,1,1,2,1,8,301,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2618.7
1,3,3,4,1,4,569,9.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5177.9
1,3,5,5,1,8,527,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4637.6
3,4,2,1,1,11,322,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2511.6
3,5,2,4,1,6,712,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5411.2
1,1,1,3,1,10,442,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3624.4
4,5,2,3,5,2,509,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4173.799999999999
2,5,5,4,1,1,648,8.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5767.2
2,4,3,3,1,3,394,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3467.2000000000003
3,4,3,3,1,6,487,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4480.4
4,5,3,1,1,2,417,8.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3502.8
2,5,3,4,1,12,504,8.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4183.200000000001
